"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_1",2938,0,0,474,21,0,42,478,0,133,11,4,31,775,0,472,27,184,66,1,644,7,24,1108,0,6,1770,0,0,0,32,1436,31,0,83,55,0,1,0,91,0,0,0,4,0,0,353,369,1878,5296,375,17007,9089,352,4390,1059,528,4227,7157,4278,8000,1381,2015,849,111,2651,41,393,2025,830,11183,1345,2096,15743,1536,1839,2320,1650,5131,847,23497,15647,210,566,8617,20340,891,9262,881,4194,3528,12116,1081,1572,1900,1137,11495,6519,13853,337,54,461,5389,146,32,931,1259,1153,1379,3171,166,7660,112,15949,3436,0,315,40,0,1227,1801,279,2284,2618,317,61,1542,253,5246,666,6,980,33006,16,1125,8852,2,580,2014,6560,87,258,4684,78,5344,2767,2679,92,3415,495,654,109,6721,0,37,411,8395,0,43,149,784,0,739,10732,224,199,2,4622,342,898,2000,2,6,7836,3825,0,54,2,70,314,0,0,2105,3408,245,133,13401,53,5385,4229,1965,2290,1408,7,376,8,1,8,126,1569,1715,1906,101,2886,2053,983,240,17,1095,1898,187,2618,2,103,18,654,9,97,3346,16336,3654,11273,7359,8291,62407,315,25443,2180,85,12503,114,265,28210,67,6319,1418,6983,9356,85710,29219,1736,7510,77723,4861,1379,6696,1564,17630,4009,56319,0,162,28768,14306,9930,6426,19766,13276,22757,28114,772,25562,1813,9,642,13009,170,12248,310,10648,9639,1586,291,1,3,33414,308806,5391,24690,13016,126136,13156,3419,7871,8325,8328,1376,7261,2444,1187,14878,5425,2613,2,30910,11256,4853,7330,8772,38,51575,8773,93,63375,36708,172,4197,3386,24521,564,10819,10866,38,228,893,34984,10658,11176,1,804,30431,26983,3029,9,90077,11823,237,6101,0,25,19347,187,22,524,65931,3016,24271,3706,9578,66623,4093,2285,3288,73985,2751,47927,332,1709,16309,798,13702,232,21206,286,286,1459,75,471,6786,456,747,21188,2607,3057,10825,169,3,10508,13454,1996,89253,8825,15042,2,1017,4992,245,31,3760
"gene_2",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,20,103,0,1,0,0,0,0,6,178,5960,0,0,0,0,786,221,0,0,276,0,0,116,0,0,0,0,6964,0,0,20,0,1,1,16724,34318,0,0,0,0,13,0,0,0,1,4,196,0,0,9,2,0,0,0,213,0,73,0,0,0,0,31,10,1,15,0,3,13,0,0,0,0,0,0,1,0,125,1,231,266,29,22123,22329,13,93,0,8,7060,2,3259,32,9527,0,1634,16,704,2140,48973,15513,3540,359,14905,5305,4745,0,4803,15789,1217,48,13479,0,9758,10457,3370,16,304,29,200,24,804,38951,435,49,1,0,7097,1079,1129,521,14982,11845,6882,4,1625,6848,2162,64,18,4,12417,4085,383,41563,596,1829,14095,24777,42268,63938,6404,19,5,10,38909,42203,3364,3944,20977,202,1190,1332,76574,25,3839,1,0,31,473,13877,1969,46971,154,457,74,1634,35932,780,13160,20967,123,40030,15404,74460,56680,892,2,8361,66,4428,6007,176769,11018,112626,11377,158974,24735,1227,303,1604,11,0,14354,310,40959,3,3,70685,307,1530,3177,480,244,2515,178,4758,119884,19,16325,9871,10,1285,2601,6638,2006,15982,2640,1584,10958,1149,502,28965,74265,43866,34876,480,8,0,42750,28194,333
"gene_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,10,239,0,0,0,0,6,0,4191,0,0,0,8,0,0,0,0,4877,0,0,0,0,0,0,0,2,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,13,0,0,0,0,0,0,19,0,220,4430,10691,19,25,17,11941,2172,29594,4330,20516,165,1,12548,0,4,13712,1123,16,1928,281,1,3596,2286,4639,103965,0,445,0,15341,1851,36,1442,0,3753,1185,5502,8,107,0,321,0,269,0,4178,17811,1,0,1558,6139,13210,770,414,228432,16659,13714,310,618,1252,7,888,11596,2811,0,218,48,354,17258,3602,0,2,593,3,2333,866,31,1,1756,11,27,43,2,0,10370,653,2998,0,13469,5217,275,4947,1879,1727,9
"gene_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,102,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,94,0,0,0,0,0,0,0,44,59,0,0,1120,0,147,0,0,0,20,1,1,48,0,360,0,32,72,0,31,0,3,3785,159,6591,0,0,0,0,3,17,0,19,6249,11,3904,0,0,72,658,8,239,0,0,0,163,3200,18,16,0,2,1,1257,514,0,71,2065,0,2,49,875,170,0,4,1,0,915,3783,174,0,0,1,0,0,0,158,1,7713,4,0,0,0,5495,17112,27015,436,90492,0,14370,25081,43847,7510,8450,18055,13533,47833,129717,46594,32,91197,11530,83252,7878,47597,60126,77258,12031,14607,6245,21,27347,100489,6610,389,69776,7713,11382,39017,9668,4233,6465,3320,17561,3065,49088,40736,15504,36988,47977,96004,9238,60750,17729,4362,131,47103,52324,15872,123477,27976,75118,55407,34334,2563,3095,0,6939,65084,70254,118655,23766,84209,35902,9021,1726,9638,1912,9619,5955,26055,583,85,12348,46180,877,18,1043,4103,6886,11592,8798,53118,46046,573,36,163,0,2818,11213,796,2146,26238,1624,8805,6991,823,5098,17826,909,13,2729,53486,2345,619,4983,0,314,26222,0,7,909,679,2343,10,27700,10435,25,411,82,10349,413,6,13085,85,3935,74720,813,577,2,796,0,410,2,41,196,79,25175,1606,4,29576,313,10132,0,2861,3283,7148,24754,8388,1,50439,75299,14606,12372,348,13647,126185
"gene_5",77,0,0,0,0,2813,0,1,22,0,4,101,617,0,0,49,0,0,20,187,24,25,0,775,84,0,20,12,90,4,165,0,0,234,1900,199,0,681,198,338,106,0,184,0,59,45,116,0,0,142,0,0,0,0,1421,4533,62,8446,1385,173,1312,0,175,2493,0,0,1572,0,0,0,56,77,0,3092,121,23,1566,3117,3,1,716,34384,9,0,0,0,2,0,13478,0,2596,0,118,2,37,1234,8,2375,2,4,0,4630,1233,79,51,6,201,1386,655,0,149,2,0,451,0,0,4,26,305,25,3,0,77,0,0,114,3,0,7,3,121,404,3078,48,80,13,3,1155,4,0,179,0,965,0,1810,29,708,113,549,57,693,66,2,1259,22,2,27,0,2878,727,243,11809,9157,0,1062,0,133,107,166,0,5150,2093,15,0,3793,17,361,1153,724,0,0,154,0,1228,1391,981,2457,39,3,1371,0,328,20,0,12,20,66,4,645,792,621,405,1616,0,5,0,30,5,155,5,1,1323,84,231,94,2440,5525,9644,1190,9053,3612,431,9627,3882,11109,2092,14,145,26,20128,5130,2088,84,456,2560,536,657,117,719,14897,0,9299,416,272,90,2269,113,28160,6518,1085,1,102,31893,46,4047,311,60,21338,441,922,1332,8707,2200,9,23927,25369,1177,0,29848,458,63292,2440,9410,538,362,1799,3,1563,4503,153,10433,4748,366,14002,18740,6453,78,82,0,10917,14733,4,174867,290,66420,132,20,9312,3492,65684,14361,93796,14556,12046,276,51413,27314,7880,423,52784,97,1566,1275,0,987,11097,148,6337,36344,18120,2679,1168,4709,48429,6,55546,264,5,2963,2277,0,163,11616,12,759,649,19588,4348,433,2762,4999,31499,2247,68571,15375,0,24248,1333,23089,4391,114,3,34054,0,0,3094,18293,973,6575,15480,5385,0,3134,1320,6012,902,1,27790,449,8443,620,22592,129,2558,97,711,646,12105,124
"gene_6",0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,0,3,0,0,46,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,19,0,0,0,3,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,4307,61,0,1,0,0,1,0,682,7,41,1157,0,0,1,0,0,863,0,9937,0,1,0,0,0,0,0,268,0,5,0,0,0,0,0,291,0,387,27,0,0,0,0,3022,0,290,0,0,0,60,0,0,136,58,1661,0,0,12,0,3,0,0,0,16,0,10,3774,0,0,370,1371,0,0,3,0,0,0,0,0,0,3735,0,0,0,0,0,0,2,0,2309,0,4188,0,0
"gene_7",39,12,0,0,0,0,0,71,0,411,0,0,0,11,0,3,0,192,119,0,0,0,432,2242,0,0,0,0,0,21,0,667,0,0,49,1166,0,0,114,0,0,1,0,0,0,504,0,0,6,0,476,0,0,520,0,138,0,0,99,0,61,86,1,0,2,8,0,0,0,0,0,0,0,148,0,0,0,11,0,0,293,0,0,0,0,7,0,0,529,0,0,0,88,65,15,0,280,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,0,0,0,0,0,0,0,225,0,0,0,80,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,8139,0,0,0,0,222,8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1450,0,0,0,0,0,815,0,0,5,1,45,3,638,0,0,0,0,2,133,0,7574,28,74,73,9645,1410,11396,3320,0,1769,41,0,32,1,0,0,91,8,19826,0,1,0,1145,0,473,0,0,11,19,0,0,0,0,2,25,0,1,0,0,1,0,50670,859,0,0,0,1,2163,31010,0,445,0,0,0,8595,37,0,2758,14,0,312,0,0,0,1013,0,43,1059,0,0,0,0,0,9541,40224,0,24,0,3248
"gene_8",0,47,14,2086,65,39,0,54,609,26,1352,105,994,63,1598,129,2489,376,26,135,825,1383,3512,233,62,1,1,14,391,2,49,630,355,3,35,1041,149,487,1410,194,1302,25,177,1875,194,22,2,6705,4541,5078,4991,4,173,3005,33520,3904,10446,24,13013,2480,99,510,909,430,212,6,721,125,72,6,1800,5,1450,4938,1845,19296,9583,608,30,1140,0,3276,120,34,530,220,4,3993,16,312,1181,14503,7540,166,9,730,0,19,220,10387,557,139,6873,11,1199,112,1643,4441,510,471,1143,17975,5750,22210,3585,23394,0,0,155,3913,189,16259,9203,5,1147,21,29986,4849,481,4782,17005,3833,8520,1512,1565,3249,11955,1094,1017,216,1249,3651,1718,1109,2870,25868,2204,1597,10118,10964,6217,8940,19622,537,3595,11084,3958,7557,355,3318,1013,2665,1365,8048,9287,13,25293,4540,7693,3614,2835,11028,1824,19023,2244,1055,640,12162,11839,7447,3700,5521,1378,1115,13301,4257,4937,5106,3087,6456,661,3902,5167,4587,3687,3694,924,6492,4254,36208,5420,14655,22384,4389,3894,46,3600,9121,18754,4032,478,11210,268,10103,3488,8630,7416,4343,31165,2342,1824,5607,784,11058,3331,1276,3474,3150,5180,14258,1137,4803,6500,227,34,3850,4099,5874,1173,1555,1205,7758,6447,1415,23666,7635,8236,376,194,6478,6882,1829,1059,2745,2112,1005,188,3817,2752,6120,1114,512,2449,4505,3696,13788,167,16813,797,11641,5826,22009,5614,1981,2972,10015,10828,860,1501,2238,46,49,4295,7889,4760,62966,5421,1527,874,11848,10851,1,15090,19938,77673,13043,42812,3133,10812,38683,103205,7346,700,854,2619,725,3545,66,2842,17,258,1542,253,6574,253,15721,1689,15463,755,16447,4597,8424,20783,3083,12529,91328,128,2766,12735,23233,1106,4330,13774,7789,6401,23676,6979,2255,5746,65836,42442,37986,2289,7686,3620,42017,20055,92637,71897,35748,872,5750,26315,570,35536,348,307,9437,31698,21854,3579,2,84102,66774,27,53369,308,15544,45675,4896,13633,11882,22467,62807,9040,3679,6912,45702,1769
"gene_9",0,0,0,0,0,0,0,595,0,0,1,0,17,0,0,0,0,0,0,215,0,0,368,0,0,0,6,0,0,0,0,0,0,0,4,78,0,2936,2170,0,0,0,0,0,0,179,0,0,0,175,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,615,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,408,0,0,1,290,0,0,0,0,0,0,0,0,0,84,0,0,1,0,13,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,67,0,0,0,0,0,0,0,0,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,560,0,1854,0,0,0,0,0,0,453,36,0,0,0,34,0,0,563,49,14,0,0,7,46,0,0,0,0,13,0,0,0,135,0,0,0,0,0,4,0,0,0,0,0,0,0,3726,0,0,0,0,0,0,27,0,0,0,0,0,1178,28,0,2578,0,5775,676,0,4,0,9993,110,0,19,0,4,0,76,48,0,12,6,98,3729,2034,504,0,563,286,27,15,0,0,18,336,0,113,0,3,4,0,1,0,60,1,0,0,1,0,0,0,2,0,2120,1,1600,2993,3,91,6058,3,0,1,0,7,0,0,3256,7,710,46,1002,0,0,0,0,0,123,2168,99,1761,3650,0,7,8,6,9,0,2,71,0,17,399,9365,65103,0,0,556,3,318,9493,63,782,6021,376,163,41,0,819,161,20,8480,14268,8,0,25745,0,549,26342,9,0,0,2798,0,128,0,1818,6729,0,79,59,0,9082,216,0,32,1142,7754,1075,285,0,143,45,0,0,28,52,0,34854,689,2655,3987,1,57,29,71,345,2,8331,6,2932,1511,9,1758,5312,3449,79,692,1773,5118,23892,73,0
"gene_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,724,0,1,0,80,1232,241,61636,383,165,166,678,5,182,22259,0,11,2211,27,7,4310,45,26095,1903,13,278,2103,540,0,0,0,764,18,546,17795,7,0,152,80,92,69,484,47,37,3678,521,7,0,6,34,108,0,1213,2520,1480,1669,0,0,1,2470,148,46604,7106,0,0,5,269,1,77128,57,0,381,0,256,2894,160,27511,119,0,1407,413,3,15811,1,5052,118432,34357,43126,14185,11691,29955,4523,50517,8166,5733,1093,5463,6383,7374,67,32687,417,11014,79935,29192,29288,2048,9607,1251,17012,35,279,15542,622,2474,22989,1,13093,32618,248,1506,38134,995,1336,782,13351,55610,124058,63819,28711,897,55435,18,10741,22192,421,374,866,5943,54708,480,4252,25680,3120,10680,6570,8592,3279,624,1048,131442,142,358,25942,1444,3,6258,303,418,20,4,10921,44,34923,247,3558,96,60786,598,20073,4044,4821,3,58,159,76937,806,7,0,2599,1340,73,426,291,2850,530,12291,35,7107,0,1679,18705,22,21530,7393,461,5,3060,30,2,13660,0,7,469,153,359,838,1305,285026,2,3853,558,7530,0,22552,282,74758,90012,15272,18,1167,3,21,155,76096,9821,13794,7250,281,10,18,3921,1051,13839,27299,880,0,367,184,36554,63515,0,0,47154,3,6,1444,732
