"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_1",1156,92,0,1136,0,155,0,4,365,0,2,403,0,26,356,0,4087,447,8,0,116,0,2,6,89,29,0,440,97,2078,7,0,58,0,59,1,0,0,121,2,34,0,0,348,80,3620,204,1235,428,0,2236,14743,3019,4277,4456,12,11076,4576,4479,763,708,614,422,2015,52,2172,168,32,331,13909,266,58,72,4141,976,56,48,2932,24761,207,16221,949,4275,754,3173,1675,420,26,5495,137,237,821,377,123,6903,8,673,8527,734,1529,4921,3,7419,1278,177,2717,953,2162,273,15334,670,3148,3636,5790,27,3110,2278,19128,4060,5826,16,24,51,123,149,103,2177,332,667,4049,1647,54,8,2185,10,2439,0,638,1923,3550,2147,3456,111,1014,4855,1523,2678,278,425,414,5,1025,3391,1,140,42,60,397,80,3640,21,1126,47,13,1905,6932,7,1851,13809,751,47,3599,7,269,687,1561,144,0,724,2,63,19,52,1413,3736,677,116,3327,6207,3889,0,2315,0,20,0,48,126,1718,555,951,202,3,6650,6931,1444,3005,2346,1384,12,3,2490,14,7153,47,2980,9824,10251,18618,111636,18501,6852,58,9921,232,10877,169,41854,16592,33222,18690,12979,0,3304,0,31009,32963,18690,16095,201,253,5433,163106,5617,0,49196,599,16120,1395,4203,1874,33137,16751,3083,107,1471,23,14731,12043,49,119210,7160,53,1,1889,229,4617,82144,32084,909,4611,699,8718,3933,15736,58877,10726,140,6808,43412,17194,1259,13543,446,2246,12,1,564,1684,938,79,11,5415,488,2,20,24304,182,33686,25,4490,0,22507,33310,1125,2,1810,699,28769,4527,9064,333575,0,6760,1,66,0,4207,487,4431,716,0,224,212,142,8602,501,37,495,267,7049,198060,17734,167,137,43,169,1028,1274,739,16120,15763,98579,7294,10797,60079,960,5001,1963,20468,3111,125,4102,1546,6233,19434,11082,23745,187577,21447,14,5100,15950,2735,5646,0,18267,6913,17244,2739,43,1251,606,10,9227,5580,1,4911,887,331
"gene_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,19,0,281,863,0,0,2,78,3629,321,0,38,39,0,2,0,0,75,3,0,10,33,0,0,0,3,0,3000,0,762,99,0,1,6,0,98,0,0,0,15,0,81,0,12,368,0,1576,1,0,0,0,0,1644,0,533,0,0,0,3,0,0,0,0,0,0,0,132,3,0,0,519,0,0,5,2,283,0,0,0,0,13,0,4188,0,0,2977,423,289,2224,4,253,10719,5,4,0,92,3,14298,6,0,27,26949,503,45,116,0,0,91138,9,1,644,460,1,7723,0,229,467,2,0,553,965,356,7,17670,1173,0,141,565,0,0,6735,136,251,0,788,123,1084,2139,35,37518,4544,0,21491,358,4,6271,1,295,5,1007,25263,530,417,28,2184,3,139067,4543,6985,1815,2,18460,1629,1,96441,16,0,10527,0,17391,2964,92,24133,4594,0,41552,30174,191,299,6494,17717,1,2386,2808,0,1031,12460,450,32121,11,5725,82052,463,80682,12032,1428,17493,82,2442,13713,15417,174,0,247,2687,18785,50960,3053,33761,5365,4674,5,1010,31438,21643,0,18658,187230,0,1877,364,1,5545,42,5421,38493,885,68665,112,12313,2330,0,106178,177,0,4843,24930,32156,5758,49088,822,222,431,2552,2443,3566,2590,7186
"gene_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,140,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,174,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,7423,7040,7,0,0,167,1018,115157,1499,14,843,31393,8,46,10982,28985,12345,91,37877,499,86,10803,856,53,1901,48,244,0,1490,420,2274,259,37566,17227,331,341,0,0,194,1310,1,4390,4457,0,2866,1142,22,0,194,61,7,520,6117,0,0,114,1,170,4796,1865,16548,1591,1192,1353,25,0,97,1267,2811,2756,0,42,61,144,0,1450,4673,56436,3,13767,3257,812,6947,23,35392,4982,76,0,11,15,0,242,28431,0
"gene_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1947,1,0,0,1,0,1,32,0,0,0,0,1290,0,31,0,0,0,0,2,0,0,0,0,0,0,265,210,0,607,3004,1086,89,0,0,0,0,0,0,506,0,800,2,28831,51,2,0,464,13607,240,0,0,3,0,3917,0,448,1,1,0,8,0,0,606,1,529,2,7,0,0,2162,1765,0,11,23,20,0,163,167,2,178,1049,0,0,0,0,1,50,0,3,0,3,15,373,3,999,45,0,0,0,1601,0,27,0,1,1317,43,0,0,0,29,15,0,1374,26318,47614,34313,7644,24682,18797,20837,62217,149231,33021,16198,88858,138799,158146,55757,92900,11461,7127,646,137,10020,16434,35790,34590,49441,19957,15134,41335,525,27435,5825,202152,38466,43531,7551,20536,19915,24317,119800,82355,65,82657,37305,28,2210,143,51988,7107,46550,19198,35222,7496,8256,38127,7303,84058,26596,92898,17551,25288,62046,2391,1211,20106,17422,42996,91930,12672,20084,12682,59,484,1590,1,2811,2390,2660,98,52482,4124,3693,4928,6099,15134,13877,5205,518,5349,6031,21181,2125,868,0,23143,670,1460,18415,1281,75,24914,23121,6132,1395,1118,244,84,19603,13921,10661,9155,56,3133,488,3347,26081,11718,9661,38842,1848,2,70628,5330,189,3689,188,44775,199,1554,11006,13574,7802,3,14768,27951,8797,0,170,30416,6837,547,17169,9804,1328,16920,590,10,150,670,1371,1,16816,0,27890,27676,9,7744,11058,11306,66,2243,4253,52660,10631
"gene_5",0,47,0,2557,591,11,0,0,173,0,0,17,73,15,3,0,0,0,1,0,315,7,0,0,0,3,1708,0,0,5,36,0,0,343,6,0,212,202,2,89,12,26,0,0,0,0,0,77,0,0,8290,6737,0,4180,3,0,2,1,186,1081,102,1,381,0,0,4130,5941,543,0,20,184,23,0,43,47,0,21,19,1325,31,932,41,1035,536,146,0,0,2426,0,0,7,0,480,3,833,128,0,14,3151,13518,4505,0,1160,205,318,4689,235,7,1981,1640,0,1820,25,901,6785,378,38,0,185,2841,111,103,951,147,0,0,0,35,0,259,5807,2,99,463,264,8,138,88,30,1,0,0,3688,536,921,236,229,4409,12,2468,8,20,0,3362,0,66,6,31,45,5014,0,1637,0,822,28,2,6,0,132,106,1,2463,1158,2264,5984,1,0,0,23,1201,294,34,742,518,2,384,0,0,15500,1800,0,98,12,1385,1132,1,0,0,0,64867,93,0,57,486,103,21,1576,0,17586,1739,0,63,14,1412,0,141,83132,7,1784,40,8707,93,355,3147,26796,11840,1356,234,317,27653,611,8361,5834,467,10929,1699,84,2740,566,1338,9259,7247,4919,7156,2571,230,7748,145,27062,0,506,9521,3784,4932,5,7052,7833,10965,292,37104,7432,26,571,8726,6,332,19,1474,1735,5203,6099,1870,0,6542,2799,54,7430,953,1,570,25160,3009,7986,774,1,32,1382,2360,1841,0,802,2,311,44,489,3,4176,0,1610,138,22271,0,14,60507,362,36908,18452,9105,10,8,43,1252,24846,4741,52525,3062,3935,8932,20454,1740,31014,153,41608,138,13802,22283,34,9588,38866,0,68492,77,1417,64200,2312,2,13533,9730,276093,93,22094,22121,10533,28136,18366,73,17059,49352,229,54895,937,8069,173,6860,31936,34,1225,4,3446,5555,466,7710,6156,0,1600,1349,14171,23468,338,8075,9675,247,1056,2991,33383,5828,68,29565,2237
"gene_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,37,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,14,8,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,3347,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,2,1439,0,29,1,2424,1681,0,31737,80,1,0,0,5000,6,0,0,0,0,19,0,21,0,47,0,0,0,0,0,148,0,21,0,13,0,2010,0,21,2,0,0,1,0,15,0,0,134,0,0,0,0,0,393,0,5,0,0,0,0,6332,0,1124,0,19394,0,0,0,0,500,0,0,0,612,779,0,0,138,0,17,2,247,343,1,2197,41586,0,201,0,6952,0,11,8,33,19
"gene_7",0,0,0,0,0,215,0,0,0,0,0,49,0,0,0,0,27,0,0,0,6,0,0,0,2,34,0,0,0,0,0,0,0,1136,0,0,1,702,93,0,0,49,0,1,0,0,0,7,0,0,0,0,533,0,0,0,41,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,162,5,2,0,13,0,0,26,28,0,0,0,0,0,0,117,0,0,0,0,0,1,0,546,0,0,5,0,3,0,0,0,0,1,730,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,4,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,2,0,1139,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,206,85,0,0,5,0,0,0,0,0,0,0,3,179,0,11,3243,2158,0,21,258,0,1,0,47,58,3,0,1023,2828,1595,167,0,0,2917,52941,244,0,62,1,0,0,0,29,0,0,0,0,0,0,322,0,0,103,3,0,2,4780,688,8517,12,1,3,16,0,10875,0,0,1,0,932,0,0,0,1,0,0,7142,1,3,0,0,2,0,0,0,20,0,10,0,0,1179,0,0,8946,0,90,29107,0,0,1735,10566,29,2882,18,0,242,0,0
"gene_8",383,39,236,79,2014,876,3305,941,920,405,92,69,75,0,3757,15,876,38,2,1447,472,1,5,614,2,2216,294,8,31,236,757,1694,71,0,3,917,82,157,3725,1196,37,5047,214,252,2681,1529,142,34,74,862,1135,381,9973,788,8046,8803,1048,946,0,326,15,25,0,45899,9,120,12,6675,2305,128,9653,56,82,4137,427,165,429,5719,579,203,4001,6039,5,0,16,15690,0,6715,393,96,47,622,439,3506,1449,2534,2505,329,16,63,1677,306,3104,20,149,18594,12623,8406,2058,8487,201,37,4319,110,1194,32194,5123,114,351,9,4545,1649,1247,1422,16939,2391,3,3588,2363,1275,8463,7460,4105,32647,5172,763,11812,4303,972,27894,1027,1353,11085,3470,28656,4090,1027,1808,5964,2123,9169,8528,6253,19465,20485,4791,56,6236,1953,91,9866,3474,9959,55009,438,39,9606,76,6587,3296,37338,8059,277,9470,10155,4607,7072,15034,1651,2535,8075,295,8553,431,16981,2058,4086,2360,20812,1047,714,3443,2541,3963,18387,615,1066,15262,3142,59647,24871,6535,1577,18872,3314,9780,3249,7936,13938,1125,8488,26438,508,5189,685,12501,4787,6573,2140,1184,139,2465,499,2290,7041,3279,1453,2684,11581,18711,4029,12647,6974,5185,3351,17165,10357,6639,2790,4199,1114,2200,12526,8087,1638,257,968,10756,8689,5916,39,2299,14637,3656,4286,2931,372,36,4578,6148,3726,3624,22963,2426,4399,1778,1480,2334,11732,10456,3292,4545,2008,6597,6186,2312,4547,362,127,2174,2322,18768,488,5129,2340,12614,78,830,54,2115,2286,498,63047,3001,16073,317,10564,2251,10581,165,9608,702,41779,22842,24847,24640,18830,5868,7414,37393,49,1464,1888,5502,23503,746,10844,91,14924,731,38706,13543,29600,3092,27522,15301,924,410,62,189,131173,2724,2461,14930,7146,9564,6054,18687,19902,1684,5466,3,1059,1156,120,930,13129,15579,8660,929,601,27251,1005,6031,1959,3999,471,836,1906,5101,265,4538,6032,24539,724,11845,45938,2896,342,3546,495,610,2948,16959,6233,1559,2822,13912,33262
"gene_9",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2216,0,0,0,0,5,0,0,3367,0,0,0,2,0,1123,0,0,0,0,1227,493,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,252,102,0,0,0,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,18,0,0,0,0,0,0,0,0,12,0,0,0,0,65,0,0,0,0,0,0,171,1,196,0,0,0,0,0,0,0,1604,56,4232,73,0,0,0,0,0,17,4531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,32,0,0,0,0,0,0,0,0,0,2889,0,0,0,0,0,0,0,32,0,0,481,0,0,2,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,15,0,1,106,0,0,159,0,157,0,7598,1163,8733,384,2,0,1,0,0,101,1,0,0,48,24,0,43,0,1199,0,0,634,0,0,0,2,0,546,0,56,0,49,38,73,22,202,9,0,0,152,0,1,2357,3137,7,8471,0,0,0,48,2,2,0,4,0,0,2,0,389,0,3787,5,6081,7176,8,1115,1757,0,75,3,20,768,5825,261,605,50170,7164,29063,0,0,1,13103,0,13,0,0,11766,0,18694,7567,0,6,495,7502,36,30,34,1,7928,22361,375,6,0,1432,3,101365,0,311,0,2349,8826,0,95,0,10371,11049,20861,43,508,11,0,44,0,14367,209,2289,0,11,1386,11,0,19,347,24768,181,8952,4,471,1,152,1090,48,2,5727,1303,75977,9,1,39,876,1156,2,14,10067,0
"gene_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,3,0,112,351,6,899,32,0,9,0,520,345,13,0,63,631,0,0,1440,0,14108,1365,6,459,0,1575,69,0,4145,29,1,2620,200,0,4083,0,0,1650,3116,0,0,6,0,394,430,0,199,9284,694,0,1,107,3,218,764,366,0,8,0,0,786,103,4,0,9799,15,2161,1,17616,12819,19045,61169,1150,0,21509,89,35,1328,0,27,19972,0,567,77,0,1845,4407,23832,5061,13077,22951,41742,3506,710,753,72,14251,2194,11450,4844,12829,4718,2013,11558,21189,55351,34221,7866,8230,11537,13918,393,16546,11415,8212,134,53188,11024,43018,23297,1679,16425,63,15163,12593,4161,13134,12711,34950,266,14231,4041,668,500,17628,294,6880,1488,2197,1115,975,548,74719,2258,1688,35877,2567,25,142,946,3676,3289,1,9305,234,560,54271,1613,2232,12292,659,27,136,4114,785,1776,0,237,1279,68,409,15617,65643,635,79666,876,4357,103,882,3186,12713,3,3275,6524,10,1203,1026,1,23,12525,6982,50939,34258,33,32,896,0,8633,362,15139,14,9109,48815,101,55824,2063,190,1200,0,1272,0,1797,1551,0,8164,0,0,2079,4080,659,100752,1683,70,4296,16,11940,13453,19,13,3383,59069,0,18210,6,2520,86,1400,54,150,0,0,12,28459,13352,2235,1137,15981,4
