"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_1",305,1,1,7,0,20,51,0,104,5,0,0,263,0,16,2264,1388,862,2,46,0,201,473,10,28,0,17,410,0,11,0,573,0,0,0,0,0,16,1098,0,1007,35,0,0,2418,2480,69,54,267,2907,9396,0,14939,1895,7941,1635,333,1971,45,960,1154,103,84,27,100,2132,16471,166,8884,2,2335,3228,1381,1512,1533,4028,1723,6153,7604,769,1832,4268,4590,479,1359,1369,3991,1015,4720,1229,26,1400,24436,70,2664,518,141,360,691,4175,1775,4035,1716,433,370,3878,4331,5219,2617,2841,858,4436,1965,89,2933,4459,1879,216,105,4288,18508,256,2055,534,1082,2233,4516,6680,227,2498,4611,2045,824,13,194,16,608,337,3757,7885,2805,29,2981,51,45,5577,6575,792,5097,12801,0,1068,104,11,7,8,13635,745,372,4010,420,60,5160,22229,1567,13,18,4690,6379,10,2125,9,1392,7663,555,3117,11966,15675,9168,7716,0,115,127,0,2,369,2581,95,0,0,10765,827,1347,1,19,1717,97,13,66,6405,29,332,2,33,520,424,2,2375,23,4151,386,8088,1,7503,0,1223,130370,989,4583,4684,33280,0,1432,39896,52126,6491,5382,5118,2,2005,61814,7555,43266,45076,8986,2010,64968,34031,30701,1,262,6416,1348,2,392,242,1448,68381,51315,105586,38963,6599,96,2895,1,100,17290,9,1587,6881,1,19838,29346,1,5027,9074,11244,852,38,3517,137,6642,22515,1467,0,683,15936,2145,239,1758,10371,3571,30931,13508,57377,4062,2424,1077,4868,3,28553,3933,5659,28225,469,49,1579,29782,5549,1276,18,11014,6670,384,746,615,18672,12293,2189,161,11362,14523,40648,10401,38728,4731,314,42829,0,4,45727,12368,50853,315,272,21504,2582,209,70,11822,43288,0,1956,79,6440,33123,1336,53565,1895,1,55567,73399,17855,16235,1583,40634,914,50228,12,126888,745,77192,0,477,8843,133431,4251,85359,102266,3045,10949,209,194,1,252,2633,1161,3162,63488,905,1355,2954,2044,2883,216880,58204,4274,41451,26485
"gene_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,287,0,0,621,6,1274,1650,169,2023,93,0,1003,1025,0,0,0,350,0,1,0,1,92,0,0,0,381,60,0,0,14,882,1,0,0,0,1,0,1,17,0,0,0,0,30,0,0,0,0,17,0,0,0,0,0,0,1,15100,0,1322,823,3389,0,0,0,0,0,151,333,0,0,0,0,0,0,7,0,0,0,61,0,0,913,0,29,4,26,3220,48,87,0,5069,225,3135,98,28530,288,7008,106605,63,662,159,0,3,1169,161,989,1847,5832,3,113,3208,265,0,1931,56,18,4,38,1093,795,14,25,1245,928,15,682,1206,10066,356,29564,1577,0,177,397,0,17423,594,657,836,39,48777,0,201,1504,3578,22,57,1231,37,0,1636,13,5442,3777,0,189,131,39846,774,5881,3,548,1284,17941,21265,74952,2979,12276,472,14047,410993,6333,22,16037,46858,2,3365,27451,10822,0,22353,46597,69169,6041,396,103954,0,107,49,317,8840,26541,23,951,1576,920,102,374691,638,140,26259,1080,1177,1771,372,477,63435,1064,42,6704,30545,349,286,58298,599,2301,6074,12005,47570,271,1,43842,22450,13044,4739,211,7,43,57468,28227,56833,19461,11803,378,661,6035,615,34037,22033,1997,60,24,6704,4105,782,4510
"gene_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,35,371,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,16985,7391,0,1091,0,5,9055,6648,0,545,1101,0,0,5022,35,189,26190,14,25714,14337,1,2,67,259,0,128,944,1004,494,0,0,1900,395,0,1196,1160,0,9753,6714,0,13916,168,6618,3542,2066,0,23,27,3,8939,0,822,26552,0,28036,904,291,33,62428,32723,515,759,84658,0,155,30,15864,0,332,803,0,7,192,10009,0,0,9349,46834,1165,4921,1210,53,5143,22909,129,1742,6788,14,1150,35502,22604,79,4,546
"gene_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,52,0,0,1,0,0,0,456,0,1432,5,0,0,5812,0,0,0,493,0,0,36,0,0,478,501,25,42,0,296,0,253,426,23,0,758,80,0,34,51,2785,0,45,147,0,0,1288,1717,384,0,39,2,2,1,173,4076,0,0,0,1163,1315,34,1484,1572,0,59,1,1,1309,6188,727,0,0,3,2463,651,0,12,162,38,16,2,18,0,0,473,0,280,0,2576,109,0,0,0,1686,29,0,0,61,2578,35,641,0,0,0,3,99,550,0,34,7300,17986,44508,45801,30637,52913,4075,113532,42232,9231,17124,47403,115617,34298,9323,459,31279,18956,43029,63357,15313,5441,3954,1536,12968,12846,13509,71149,51108,28328,9370,1827,80013,1866,18244,2305,4006,21036,7150,78019,39228,169428,17613,8090,48274,46239,7854,15266,17884,12238,9553,2044,4234,30052,13777,8081,385,74685,11297,65912,3466,5245,5745,11677,22196,102513,1172,42128,6097,296,174,0,4065,0,7677,21025,10,0,11475,24414,8,6,8624,978,7082,20,53,23566,10901,6,109,622,69207,61,1024,8975,784,295,11316,20323,13,4096,141,2,1148,120,3073,14,24,9204,183,6056,965,0,4235,1,2229,14,897,151,2728,0,2179,3225,20164,997,12693,9,67,29920,63259,151,346,8698,7798,121,17349,763,22,41,5,3264,4967,8460,5039,21939,37413,1596,14,0,18,35520,1418,1149,44990,459,44858,16379,143,3,24,6263,13
"gene_5",0,80,7,0,2,0,670,0,0,1,0,91,0,3400,4,1,13,139,158,0,1289,0,1,5,1,0,773,67,144,478,10,256,7,137,40,0,57,2,355,0,195,0,16,810,0,448,168,1,60,2963,1,84,18,0,7,75,30,5,0,0,0,4253,2,12,0,95,0,0,127,0,0,6482,0,982,6,0,38,0,0,0,12,3,0,0,11,67,0,2033,0,0,11882,98,0,0,0,274,301,0,3523,5,0,7004,0,27,31,0,0,0,2,173,334,156,1,0,1042,420,0,56,48,0,0,57,226,0,554,2700,723,966,6,693,361,5525,35,35,69,0,76,5,174,0,208,1,422,4525,173,3024,65,2,5,66,1195,17,916,87,0,0,0,10550,194,0,276,6658,1651,59,0,25,1,7914,6435,674,1254,785,2923,3136,0,6,3517,0,3830,32,1686,1042,328,11,1651,153,649,0,988,481,0,4989,3832,2710,518,125,529,806,13,57,1915,15,7799,0,6446,5,6504,2343,0,1664,0,226,1570,89,0,4612,1886,30636,874,9079,516,4356,2158,9873,53802,183,667,1218,2,498,78,0,1041,388,3687,17142,5189,5822,6526,13503,158,597,3651,25610,81,12,13,2155,7,219,1874,1203,86559,3931,3341,13836,284,15143,992,789,242,6259,28211,8272,141,3216,6,7329,5,207,1538,32,25,3902,18045,2,5140,1409,2893,1547,4963,659,1269,718,10571,33226,208,9136,28,2192,5433,3614,30436,3895,88911,6071,1590,1489,16433,1981,7905,2,23,7736,41372,1987,1293,5968,22,0,70100,1273,1438,0,1336,3923,1987,17599,1424,584,5412,17837,12993,102,2783,597,0,6658,29,15627,3181,39,11206,786,10876,2817,17701,2,2267,35908,556,21,7134,198,1994,11612,2977,31866,2619,16755,43,68202,18134,2,9,36194,3,4,8827,20,2,12993,380,3592,16315,15645,783,333,4679,268,6404,3578,9126,611,14,26980,4220,0,457
"gene_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,1,14,25,7,0,1,11,0,0,0,4,1,0,7,0,26,1,2,10,29,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,261,9,0,0,0,0,0,0,0,0,0,0,771,0,1,0,28,0,0,0,0,0,0,3263,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,43,33239,2663,0,1385,459,45756,26827,0,2890,0,31,1060,878,1230,3,0,0,3328,0,1526,1,1,0,39327,0,0,115,0,13,0,30,0,400,0,0,0,3371,294,0,0,1,0,0,0,0,20,671,2265,0,0,0,0,0,1,0,0,68,22,2420,2,33692,0,0,0,0,0,0,0,0,1,2,54,0,0,6,0,0,0,14,0,0,5380,0,0,0,10127,1108,1282,0,0,0,0
"gene_7",2,0,3,0,0,0,0,0,0,0,0,0,0,165,0,0,0,132,0,0,0,0,2817,0,2,0,0,663,3,0,31,0,0,0,0,61,32,4,0,0,0,0,0,0,0,339,0,0,0,0,2143,5222,38,0,0,4,50,1636,70,64,157,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,684,0,35,0,0,0,0,0,0,0,0,0,0,95,0,0,0,71,34,0,0,0,9339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,45152,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,1597,0,455,0,0,0,55,78,832,0,0,2,27,743,2,0,3301,2504,4431,1,39,6,0,0,0,0,0,212,1075,0,0,9,0,0,0,15296,51,0,1,0,0,2462,32525,44,0,0,0,0,100,0,0,0,0,1,57,3,889,0,1017,1,10348,0,0,0,0,284,0,4,0,3,0,1053,499,402,5177,0,2,0,0,0,0,1,2082,1199,33,10628,0,38,23581,0,8912,248,448,0,0,0,0,2437,3
"gene_8",823,1950,53,148,91,658,970,15,19,0,33,0,718,152,91,1057,1260,81,4,0,124,1083,36,6379,37,5,438,88,9,203,1084,1476,10,67,49,430,47,232,162,3392,0,935,2,41,129,53,116,1987,23429,3962,1234,1365,9568,4722,3045,3,72,646,3,257,2965,7,2622,1,2,209,1951,1467,151,59,1061,11021,5,5797,218,28328,5083,1,3918,145,8711,8731,131,1084,3240,1048,1521,6843,196,94,5002,27299,5688,1354,17,3281,8782,2482,48703,160,83,11879,7865,142,235,3017,1568,21679,342,15730,6432,1062,4874,31266,3,1204,2421,9033,27329,20883,11969,535,1872,2643,1,3646,932,38113,661,4481,1960,915,2109,14438,3952,1566,4002,638,20629,8614,1849,551,5230,34,6780,3447,1339,4495,5879,15990,1559,2435,3199,18,780,700,8067,17762,3158,1244,2361,396,4820,31585,2139,19496,27671,2550,105,1371,2327,346,1682,1487,6663,3602,2476,9671,66,19864,5026,10229,14109,2820,1279,4602,4783,5609,15797,3307,5652,668,249,8910,10750,426,58,3825,372,18185,6383,25215,3995,2849,14028,19706,1841,5608,2620,1264,10094,1934,923,1504,2001,2105,2979,3975,21322,1601,1710,6805,5650,1455,3583,6599,220,6564,15401,1188,4892,4634,11675,2638,7982,1703,189,5561,9933,5264,138,1235,10202,1549,840,11894,42,669,365,999,5449,3722,3624,3171,8686,15055,899,3505,3646,3688,4041,11280,43,257,6227,4075,4635,4814,703,1553,2760,3581,881,2088,5135,3343,1249,843,6679,9678,4743,11669,2442,3138,1197,1168,89439,2743,6772,749,658,1867,80,3092,5552,17272,7694,7971,11850,2979,4911,3279,2093,10800,3228,1819,19879,12285,19544,802,6391,6066,395,11723,8420,674,16543,19964,12466,4480,10911,177,1224,7957,567,15194,114,299,82242,12575,13439,11928,3247,99594,19710,304,11286,31570,12642,2034,34783,12658,13370,4056,11,539,65,78612,9390,2146,14775,1911,5683,121,3275,7710,4969,2089,6952,34417,9903,2839,22057,1876,31115,6509,38871,9231,17225,18927,11233,1722,14210,5244,535,9008,558,17510,6158
"gene_9",0,0,0,0,0,0,533,0,271,0,0,0,0,0,0,47,15916,0,273,0,0,0,64,813,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769,0,0,0,0,0,0,0,14,0,0,0,1261,0,0,0,103,0,0,0,0,3736,0,5201,1011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,164,0,8,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5440,20,0,0,0,0,28432,0,3,0,329,554,4,0,1289,0,0,0,0,0,0,365,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,4,908,0,0,0,3236,0,0,0,2,0,0,1,0,751,39,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,312,0,91,0,0,0,0,0,136,0,0,1,334,108,0,1604,0,2,0,0,191,104,11,2316,135,39,0,0,112,5,0,37,0,5,0,0,15,9,168,1791,0,0,759,96,0,765,0,0,0,849,1061,528,0,24,0,14,39,2,490,0,0,554,3806,2593,0,753,0,1,55,0,0,0,0,1,0,1423,0,0,0,0,365,22,171,7869,0,0,0,6468,0,0,5270,1460,3,0,497,387,669,219,0,3,5,0,2902,28271,1272,721,2187,9414,0,2480,8952,12847,0,10934,0,29039,0,5785,508,1794,320,199,30562,240,8782,303,193,0,612,2,416,0,26,0,2,214,2795,11,168,101,32,797,2058,3,92,386,7,7636,0,6406,0,15,0,2266,3203,501,31,15,1327,1113,7310,0,19,1480,33,757,5149,610,3,0,3,121
"gene_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,13,1899,15497,0,11650,808,0,0,216,0,1542,109,0,37,0,17890,9963,173,0,1207,3,2859,23,706,2,0,1929,2,1,638,10315,300,430,0,91973,0,2,14250,754,29,0,0,22,73,18,1736,2748,2087,600,12,1,0,0,4677,1339,238,3,0,1849,0,2150,1502,0,182,367,34,1202,2166,0,62,14,0,254,8502,186,4,0,25,0,4,4606,2480,245,4,5,1481,22907,29486,7946,48651,11242,12731,444,27828,1696,204,3961,661,34717,720,1320,5167,27693,135,59267,22805,429,43246,136,5525,6131,105927,14203,9171,1429,3541,5903,890,1763,13990,3759,10413,26,830,6,8006,1123,3497,462,5,12876,16999,5630,6355,11188,0,9829,86440,12188,23871,50937,39304,4485,423,5623,2207,22,47,10264,5379,22857,30653,841,457,33357,1722,1218,4997,5398,0,128,25,58,12055,660,0,26,854,12440,326,13,232,9532,10,1,1842,238,7631,1,9475,19,0,8360,544,199,3200,2258,0,13301,1,19009,29673,25963,7493,21230,3012,13711,28426,17072,2,0,153,1285,27439,2491,15927,8889,31367,3378,45,2006,287,29757,6,14,0,50141,959,0,3625,3603,38057,15724,169,1020,287,432,659,17634,1982,3108,52,1048,39,84,11480,1327,18363,53,0,105,567,13422,4,155,1660,9102,1
