"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_1",147,14,0,0,7,1051,59,0,0,88,97,0,34,2857,358,0,350,561,10,11,5,0,1862,0,4324,461,0,0,0,35,1637,1,175,378,123,0,7,21,2,0,0,95,1,3478,0,338,269,793,15676,3010,3274,584,1072,1615,425,3556,9379,302,642,350,730,1716,400,1254,2,2141,7681,101,5168,1360,1244,1850,1060,105,31598,957,67,1967,15909,257,6492,7398,49,242,11673,6132,112,25983,7925,1893,1333,20028,7373,3480,1732,1553,674,2701,4060,3397,819,4,3728,3173,73,54,1004,3420,731,2473,4254,4511,266,1842,2,9223,3,12807,3786,2850,1958,746,3,30,1712,51,437,1177,9041,606,6,0,20260,102,19,21,4223,3302,19,21956,147,854,633,18,0,485,0,441,2,4,5538,3199,374,120,6144,17,16,194,129,3732,381,1552,589,2270,118,273,18990,0,118,0,3,26137,9,32,0,2568,1176,1,578,295,42,500,402,3688,8455,0,2717,144,400,70,900,76,171,1047,5208,164,378,622,2,852,1749,45,1671,1645,1660,106,251,3,3,933,8124,21070,27,6929,0,668,33832,90937,232177,14643,10462,848,6533,1024,1161,18321,3694,79969,1209,2695,15756,71,68831,43005,6927,19323,170,6241,1808,129,20780,23091,259,836,17506,74559,265,603,5485,5291,3919,22044,43514,651,2016,22562,12830,97182,2655,13207,8765,146,24,5460,5942,1993,1121,1377,63479,1249,2468,13613,169,1946,819,6964,151197,4387,1396,42,4363,932,3330,67271,26976,4135,107,11523,1310,10186,31526,1056,25270,0,3331,102,911,152504,14,190,1145,2212,7201,7937,4090,37,21998,17150,1079,1641,6413,58,58,1515,10043,15838,166,290,6580,1852,5723,0,2,20182,559,1,3,3928,25864,7333,12540,2555,13822,819,77,1984,24368,22,80136,16769,48782,3629,21020,1,18526,54974,3032,365,4403,19,33826,8218,15419,0,14339,2555,1685,7194,112,9762,16261,14,2871,3367,0,6055,4553,22525,247,10647,1222,4,27570,6874,44937,108,0,21757,20301
"gene_2",0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,44,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,0,139,0,0,17,0,0,31,0,50,1166,33,0,0,0,0,0,2299,73,0,0,0,15,0,2482,0,0,0,202,0,24131,4976,0,0,1,0,0,555,1,7089,0,0,0,0,0,7,0,0,0,0,0,0,0,87,0,0,0,896,1238,1,0,0,0,0,0,0,0,0,5889,0,46,3,0,0,0,2,0,0,0,0,0,3799,711,2939,102,3641,8,7132,2471,236,59,10732,1082,1091,26,1726,1524,1382,1194,54,1904,1366,281,772,2816,493,58,48,910,34,104,933,4,2,5700,0,5901,964,159,1,0,1719,8672,5113,12,20696,2034,3618,0,3136,42,0,244,58,1,3154,6225,262,2,12,2074,0,1716,0,5398,6,7,369,8,31,78837,4781,108318,3429,29,3,5089,23559,4991,26723,93,919,4948,2771,17,3342,76,419,470,890,155782,3468,28571,1,91377,58,1853,821,2721,1,4153,18513,49,116224,4351,392,3,529,19455,1423,7,0,15045,46109,24593,69673,840,61411,3084,119,4620,6581,2745,0,4142,17,18058,14991,234,8441,777,54,5741,2373,0,806,6909,2006,939,0,10285,22,7050,1469,17507,33246,1449,3127,2694,13152,52811,192,110795,18,163753,2530,6118,1782,2175,23684,237,1,974,35116
"gene_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,1,0,0,0,0,0,0,0,0,242,0,0,31,0,0,0,0,0,0,0,0,0,157,0,0,0,639,1,0,0,759,0,0,0,0,0,0,2966,0,0,0,0,0,0,0,391,0,0,83,0,0,0,0,0,2,0,0,0,8,0,0,0,18121,5,0,1522,0,1153,3154,3948,104,7,72217,3054,0,15,5897,302,841,11913,1,2370,24629,115,2,24,119,10253,2610,187,58,192,5,0,21155,0,20,3040,1,69,0,34,4513,10,117,0,102,5,291,135,103,0,132,19,0,0,48278,0,1222,5,0,157737,426,2619,660,81,0,4,31,47,28714,0,3152,0,79,6941,5099,23466,34,47,6,9741,0,1,7407,0,889,126,5309,0,3264,5961,0,0,2491
"gene_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2332,0,0,0,0,0,0,0,0,5,79,12,0,0,0,0,0,0,78,16,0,622,15,4,6,1,0,0,3908,0,0,0,2507,0,0,1360,0,0,2,3605,19,300,0,0,5685,696,0,298,10,1898,0,0,24,162,743,0,0,93,0,0,0,1,0,0,19,0,41,1068,16,0,0,1,0,596,0,0,807,3207,5421,0,0,0,21,6,0,0,0,0,17837,62,80,310,3,0,0,1586,596,0,1249,38,0,0,0,0,4158,106330,6006,11088,41117,15087,20441,50489,7,11908,10017,1782,9387,4768,1300,154659,96376,6153,4881,62036,38516,21482,65235,39486,77468,20777,26689,6841,2798,41525,1211,47359,118655,30645,49481,9969,1181,10418,889,13626,2155,6135,18602,8455,165,1248,5,41573,11191,34536,18053,3962,11034,10772,77771,1451,7428,4057,16936,32185,45731,83248,19578,26607,5472,2062,62681,1353,6200,14389,4236,28597,790,0,264,4694,587,26754,3187,150,171,293,2468,6820,643,29576,954,0,1493,2,8424,293,5906,931,12342,4130,162,1593,6219,5397,11743,24579,1883,16068,30195,4175,17475,39,2919,924,71,7399,2,2667,10,52,9992,418,4559,3337,31095,16234,1,31216,23986,3,73581,24140,46,779,80,195,6344,0,506,2085,32,3246,0,7400,0,129,357,6257,14443,564,37184,24,4101,18021,15674,8931,370,202,2492,1,0,48,3661,7578,389,1075,393,640
"gene_5",105,2715,0,1895,2,0,2,5,954,0,21,34,835,469,64,0,859,0,351,252,0,0,365,683,31,2,0,18,1281,35,0,48,1,0,2033,3528,0,10,2,3,76,0,0,101,126,0,0,0,0,0,0,1142,0,20,70,0,0,56,1284,0,16,144,1005,0,1,1,0,0,0,2604,4040,0,0,4558,980,4,3954,9965,188,0,10,687,0,0,0,0,24,0,0,0,0,0,0,70,0,0,19,0,39,3817,11,930,1182,1469,0,341,699,0,1135,3855,219,0,2,9760,6427,3887,32,1135,27,0,63,0,1,567,2351,170,21,0,1,32,13,94,328,209,798,10,1086,0,10363,1502,401,6,0,0,1297,6964,923,14,3650,4738,57,1500,29,0,73,0,98,1782,57,73,0,7,3,711,1,950,2867,169,0,7402,7139,9,24282,982,100,63,0,1413,2312,1,4,0,113,312,11,243,281,1387,0,330,114,114,163,25,359,0,0,3955,764,11,9,3,2,0,1150,233,0,3,36,1,0,6989,0,0,2,4,247,129,3,168,0,2157,5353,1029,2906,1474,644,92,401,27065,726,2428,1273,7882,21778,6449,21429,49870,19550,4333,11461,4447,12717,24606,348,188,1995,1873,50,37,3615,4388,9,15115,599,40543,0,8082,8122,19667,7,8007,5944,1702,10886,8,323,1800,17372,29160,9,1279,445,777,275,42359,30862,2949,194,15867,14880,23190,11532,27774,89,9500,11049,6605,269,4981,33732,0,63488,20156,4661,4112,18907,38549,433,24232,209644,5086,24567,287,22095,67790,121,27,10,17362,115974,101,61733,6724,360,6922,1696,1378,53072,15078,11508,191,12110,21237,18776,45,1,5667,2238,0,2134,20604,4437,396,66794,10141,11777,23140,176040,279,1493,4118,0,366,239,24,272,493,20297,1986,7826,1,4311,6558,60,5602,936,19625,1691,1013,13,253,8284,3,1746,1014,7628,1752,1893,19414,11141,831,61,2771,0,121,2,413,7127
"gene_6",0,0,0,0,0,0,2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,5,1,27,0,3,9,0,0,0,3,1,5,0,3,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,5687,0,0,0,0,0,22,0,0,0,0,0,0,569,0,527,0,8,0,0,293,7104,0,0,785,0,0,0,0,0,1692,0,220,1312,3800,6,0,30,1,0,163,0,0,0,0,0,8,0,0,5839,746,0,19182,1610,0,0,0,1,16,171,21,0,0,0,25365,730,360,2181,1610,0,0,6145,0,1,2233,1,0,4,4,0,4696,9,0,0,0,38,0,21207,689,0,1202,0,0,0,1,0,2,0,0,0,2
"gene_7",0,55,0,341,0,0,1,0,0,0,0,485,34,0,0,0,0,347,0,3,0,311,0,0,0,1215,0,0,0,0,0,65,0,1,130,1007,1,0,567,0,1642,64,0,0,62,0,0,333,22,7,27,0,528,0,0,155,0,0,0,0,511,84,0,0,507,0,0,0,0,218,22,2,0,0,0,0,1,0,0,1,0,1,0,0,0,6,222,0,0,0,0,110,0,0,236,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,197,12,0,0,0,0,0,0,0,0,0,0,812,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,0,0,0,0,989,0,0,0,0,0,40,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7740,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4606,0,0,0,0,0,1,0,3,2,11695,0,7,1,81,0,0,611,2958,4898,93,801,370,615,0,0,113,68,5,0,1,5582,4,0,126,0,1,0,0,8050,1012,0,9221,8281,7774,4536,15,0,331,0,0,0,0,0,163,0,0,4,522,2824,168,1,0,0,92,23,0,0,7748,3311,37,0,191,5,6,0,161,24854,962,0,0,11,1003,1,0,1473,1,0,341,2,202,0,0
"gene_8",107,825,0,1900,70,90,428,37,1791,2699,1680,666,86,797,26,1516,1876,116,0,1193,56,2978,110,77,231,691,172,12,210,6323,566,13413,680,26,30,438,3,714,3224,3715,4,995,2,2438,1923,4574,114,3153,3,10,470,962,948,648,8915,891,8445,3216,4769,35,2,201,3895,5964,416,39,592,13,5603,1049,2180,8729,91,139,1062,15702,173,3788,39,161,132,224,2605,47,4442,12938,2686,1037,183,1113,101,6246,0,692,87,24,18,3955,1945,38097,85,793,4732,88,79,15709,7410,7118,518,968,4153,2157,13642,3426,98,2568,726,12974,4506,292,168,1674,462,176,334,31,1092,20582,3075,7345,13382,22811,375,3294,1733,7988,4582,5807,23193,9771,2472,26051,2484,1790,27151,14985,11545,56,21572,4586,6654,7285,1848,11749,6169,911,3386,4,7039,5051,595,3202,1967,18511,7139,2063,1575,1385,3737,191,6193,3142,1765,950,1024,6555,3257,3117,1700,720,3390,4279,839,3615,11133,8482,3273,2189,6447,927,3970,5043,985,12345,3958,5884,315,5022,566,6559,391,4979,222,9628,1068,14385,366,6721,2155,237,1655,15271,7855,569,1004,19390,54,1411,7761,360,3357,232,1181,12478,7798,6466,641,1341,12196,3987,2358,10077,4641,1646,77,337,208,2391,5651,1642,1067,11926,5865,5403,3240,7679,1071,23214,887,9043,12277,1835,12849,2270,298,6751,2413,13203,8699,5426,6617,1218,1970,1023,9100,7617,586,3537,2965,1346,2022,4773,3325,12342,5233,538,15047,3882,1629,1380,4071,1095,1062,2357,223,208,2395,915,9641,80,107,17231,203,4082,7385,6639,19817,94,24336,7629,19,707,2922,3587,322,8368,33302,77375,9589,25125,27221,2883,919,68127,613,20992,4715,76929,10361,801,21469,9759,23220,216,15730,50869,1347,1023,10698,13293,139,9320,4506,35935,3706,8875,12565,10407,2691,23966,8172,22302,403,2013,3563,25281,962,4432,9459,845,18238,7663,1648,9636,2891,227,14275,21343,34513,9185,6752,14949,4309,1496,34,352,1367,11255,121,4357,4580,282,21259,16305,7824,2798,24498,9420,1219
"gene_9",0,0,0,0,0,0,1877,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1679,1,0,0,0,0,0,0,0,0,1,0,0,8,0,5676,1,0,0,8,0,1,64,0,1,0,0,0,131,2,0,0,0,0,0,0,0,0,103,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3765,0,0,0,0,0,0,0,0,0,0,0,8,0,55,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,2,0,0,5,176,0,0,0,0,0,0,0,0,12,0,0,0,60,0,0,0,0,0,0,0,54,0,0,4393,0,0,0,15,35,0,14,708,0,0,0,0,0,94,0,0,0,0,0,0,0,88,570,0,1,0,0,0,0,0,0,3132,0,5,0,0,0,0,0,36,0,0,2,1620,0,53,239,85,0,0,0,0,0,328,54,0,0,16,2333,0,0,0,625,0,0,0,621,0,1072,0,0,0,0,305,0,0,0,2172,0,0,1,74,9,0,0,15,0,0,0,7087,1198,0,582,0,102,0,0,153,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,6101,15003,0,16,3511,20975,708,271,0,9421,5,715,2,410,4697,2176,119,0,412,841,0,54,39,3,1515,10437,6,2025,13125,1,3125,38,134,58,3,0,0,0,153,5720,0,8,24184,14,1713,1719,391,12816,3,0,1565,0,30,5,1900,10126,2279,46,16303,19674,311,4810,0,726,2306,1786,48416,0,1,0,1719,36,24383,1711,2,1466,0,278,198,22940,1,1932,0,43,1,82,18,714,0,9,1213,0,12,0
"gene_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,3,13902,0,34,43,18,536,14,5,5203,1,1,0,6,5950,0,0,16,1,3321,0,6,3,4303,0,5145,6,11337,0,2,30,3694,5,147,125,0,360,42544,8103,2,1765,796,3278,30883,2,24571,0,48600,0,11,0,0,6,782,55,295,27,1,1926,9434,2840,801,1,1334,8,13180,0,2826,0,3352,201,0,0,5,82,0,3256,12925,2,0,1992,15664,112,0,31152,23495,638,26821,21,60630,2300,6166,70073,109,103,7848,3983,17689,1182,5162,688,702,6014,1391,432,705,56380,1690,2491,869,14428,60419,11203,17557,16617,1266,179,23128,37988,4428,1483,279,16774,33336,491,9479,100191,8982,304,166,14,554,32080,46192,1079,998,1695,9452,16648,9771,5179,4093,2332,2190,729,6532,36475,7246,21837,4297,26154,3567,19257,1308,497,95,1351,640,13177,1496,12451,15,5,0,5250,961,11,226,0,732,1274,959,1060,0,8969,21017,899,20,232,2021,475,323,3576,0,1,976,12454,39,7,0,9552,13,224,0,8909,93,2249,78182,68,0,0,8,3000,351,255,11952,73,60,1006,50,2393,0,5246,57,7409,54812,2,2263,0,291,3241,12890,0,1173,501,72,8,116,39080,37655,44924,1016,10,31,0,76419,18157,2303,49823,0,37,0,2,1310,5468,147,1118
